specObjID,objID,z,zErr,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,modelMagErr_u,modelMagErr_g,modelMagErr_r,modelMagErr_i,modelMagErr_z
2227058386426423296,1237665440982434001,0.1592292,1.765769E-05,19.83779,18.45735,17.7143,17.28792,17.02131,0.07508127,0.01046987,0.008088205,0.008494599,0.02247349
2268714764639168512,1237665227843109001,0.160689,2.554844E-05,19.60647,18.22765,17.43168,17.02888,16.71465,0.0690506,0.01077231,0.007858666,0.008260668,0.01848889
2284596935224485888,1237665227309908001,0.0260504,8.880565E-06,18.87723,17.5722,17.27536,17.10848,16.98207,0.2123763,0.009604906,0.009859504,0.0127091,0.05339434
2386995003428726784,1237665440984531001,0.1785973,3.572906E-05,19.9374,17.89927,16.79278,16.29585,15.95017,0.1593008,0.01137009,0.007065504,0.007096274,0.01760274
2394870805335926784,1237665533321937001,0.07638037,1.480898E-05,17.78498,15.83233,14.90123,14.47421,14.13092,0.02055269,0.002854128,0.002364766,0.00240478,0.004004685
3095241301818370048,1237668332565365001,0.1128703,9.20787E-06,18.90079,17.92638,17.5547,17.21895,17.10269,0.02852656,0.006236265,0.006327302,0.007150155,0.02375883
3096267421061769216,1237668332029215001,0.1855634,5.278346E-05,20.49076,18.53837,17.2872,16.82274,16.50178,0.1082585,0.01058337,0.006382481,0.006715485,0.01760811
3098540666234365952,1237668332031050001,0.1615771,4.008542E-05,20.78355,18.63256,17.51581,17.05044,16.73406,0.1382692,0.01137431,0.007378471,0.0077054,0.02078657
381827156486940672,1237650371562898001,0.3785203,0.0001148476,21.81257,20.60081,18.7719,18.13073,17.69073,0.2967199,0.04941359,0.01709137,0.01598273,0.03975353
587795651631278080,1237671266571256001,0.04605323,1.603472E-05,19.19223,17.22521,16.35761,15.95126,15.6169,0.03467908,0.004814732,0.003741427,0.003829764,0.006729634
917618909266339840,1237655474504139001,0.1576705,4.332034E-05,19.70861,18.10327,17.15556,16.70296,16.41934,0.06430175,0.008104913,0.0055935,0.005538724,0.01286097
1169841109828921344,1237658801504125001,0.02966092,9.542831E-06,17.38077,15.50903,14.67053,14.26912,13.93739,0.01405315,0.002642284,0.002327354,0.002300756,0.003543759
1360146780800444416,1237660635446903001,0.1767531,2.925471E-05,20.03793,18.66731,17.66615,17.18113,16.80154,0.08752232,0.01233194,0.008416966,0.007899703,0.02028345
1361231449054799872,1237660634911605001,0.1078608,2.629176E-05,19.88302,17.95502,16.93126,16.47374,16.12396,0.08265438,0.008227221,0.00569733,0.005477856,0.01198112
1365747698065500160,1237660634915537001,0.1254913,2.935103E-05,20.53134,18.64082,17.66191,17.26898,16.99018,0.09026288,0.01003433,0.006917835,0.007067466,0.01660343
1562895632950126592,1237661871883682001,0.1308847,2.760365E-05,20.23405,18.37274,17.36238,16.95442,16.61787,0.08200001,0.009094262,0.006167867,0.006122597,0.01338281
1650678166806620160,1237661362373329001,0.1656494,3.307257E-05,19.84866,17.92269,16.70965,16.25016,15.91911,0.07691709,0.008047292,0.00483082,0.005104495,0.01075024
