specObjID,objID,z,zErr,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,modelMagErr_u,modelMagErr_g,modelMagErr_r,modelMagErr_i,modelMagErr_z
2173134210917754880,1237664669498868002,0.08698688,1.624545E-05,19.03677,17.81797,17.14632,16.77891,16.55722,0.04056667,0.007741982,0.006174557,0.007048894,0.01832955
2224826651491985408,1237664668980872002,0.4420806,0.0001517634,23.24483,21.31201,19.67297,18.92649,18.45367,0.7365575,0.05804647,0.02427421,0.02003457,0.05486605
2423011431310977024,1237665442064630002,0.1510693,4.771868E-05,20.61273,18.77892,17.71372,17.20672,16.84294,0.1609777,0.01362596,0.008641043,0.008381683,0.02422103
2674030483943221248,1237667734497657002,0.16759,3.065441E-05,20.24299,18.54675,17.4045,16.90144,16.51785,0.07972908,0.01052411,0.006527174,0.005963512,0.01185705
3117626813602359296,1237667734518694002,0.07229991,1.542263E-05,18.53658,16.72353,15.91207,15.51528,15.21447,0.02416217,0.003937407,0.003304179,0.003335348,0.005758232
467339751171581952,1237666302167286002,0.1634099,1.412091E-05,20.33124,19.03279,18.12727,17.59766,17.26464,0.06590391,0.01035052,0.007356893,0.00718384,0.01613193
471901351194945536,1237649920038011002,0.1256129,2.245891E-05,20.65741,18.69258,17.618,17.17715,16.79692,0.1012428,0.01063801,0.006823016,0.006649966,0.01649142
488745594555230208,1237651496830239002,0.04177648,2.080502E-05,20.05073,18.2768,17.36867,16.90412,16.53356,0.07328975,0.009058958,0.006845512,0.006377257,0.01319953
490950115335366656,1237651495756956002,0.1053041,2.77845E-05,20.02355,17.97755,16.9704,16.52477,16.17685,0.1140967,0.01052465,0.006844145,0.006433812,0.01659379
493208512235595776,1237651496295203002,0.149252,2.961686E-05,21.20411,18.87564,17.68365,17.20426,16.83086,0.2055614,0.0142707,0.008268006,0.007650003,0.0201197
595745945350596608,1237671992951374002,0.1434361,8.247999E-06,19.51887,18.08263,17.34851,16.96131,16.68016,0.06310139,0.008586861,0.006751634,0.007225917,0.01795245
939091545750005760,1237657244045476002,0.1948598,3.857098E-05,21.07467,19.05328,17.72977,17.24066,16.86009,0.1996929,0.01401229,0.007973875,0.007934895,0.01780043
1038198227188344832,1237655692478710002,0.1116874,1.974758E-05,19.77009,18.35435,17.51292,17.09982,16.84302,0.07302827,0.01085217,0.007565909,0.007197293,0.0258515
1039380751574919168,1237655692480283002,0.0912756,1.455166E-05,19.84989,18.23302,17.34658,16.87081,16.49179,0.09634266,0.01143836,0.008113912,0.007415609,0.0193295
1040393401867986944,1237655692480545002,0.09396571,3.434358E-05,20.23147,18.1676,17.16048,16.6785,16.29848,0.126874,0.01051637,0.006981,0.006301238,0.01590078
1132761179710580736,1237657244047442002,0.06610782,8.817864E-06,18.82669,17.77356,17.36037,17.01318,16.88451,0.04673235,0.008614135,0.009013981,0.01022603,0.03325776
1625800891107928064,1237660634391118002,0.1441541,4.021479E-05,20.005,17.8701,16.74692,16.27429,15.904,0.07633781,0.007221108,0.004813027,0.004675357,0.009633441
1998562834019018752,1237664291546530002,0.1469567,2.663374E-05,20.39181,18.76321,17.73973,17.30518,16.95972,0.08112419,0.01127399,0.007631022,0.007938599,0.0173738
1999708800197617664,1237664291547513002,0.07830299,8.659549E-06,18.24652,17.03974,16.44119,16.0833,15.85944,0.03646938,0.004541449,0.004076805,0.004398808,0.009753834
2179872842521274368,1237664668965077002,0.0235266,9.294781E-06,18.69839,17.60857,17.13501,16.87329,16.69714,0.02176081,0.004905518,0.004622794,0.004938867,0.0132751
2186586461946537984,1237664092368077002,0.07661969,9.233577E-06,18.73199,17.50281,16.88213,16.48052,16.29029,0.02979824,0.006054459,0.005181648,0.00513625,0.01174315
2202434822918400000,1237665129070199002,0.121104,3.16985E-05,20.16563,18.2829,17.25907,16.8346,16.50371,0.08478782,0.00906644,0.006250695,0.006686878,0.01451388
2423041118124926976,1237665179525841002,0.07354119,1.644157E-05,19.39299,17.39459,16.44013,15.96194,15.58466,0.04398523,0.005057781,0.003839026,0.003739561,0.007319304
2497383496352294912,1237667323788919002,0.03212211,9.768349E-06,18.5708,16.94915,16.15863,15.70691,15.36243,0.03183986,0.004627972,0.003815723,0.003929304,0.007324669
2506406363698063360,1237667323792327002,0.1650088,5.392333E-05,20.60125,18.64665,17.48923,17.00808,16.68709,0.09936889,0.0113451,0.00677795,0.007299149,0.01592458
2904962840672626688,1237671124301775002,0.1782128,2.468085E-05,20.16862,18.52258,17.4932,17.02389,16.72891,0.05593356,0.008146043,0.005566555,0.005141262,0.01157175
3141324588185577472,1237667966420386002,0.2294258,5.760948E-05,21.65408,19.63306,18.25069,17.73277,17.36172,0.2972087,0.02188199,0.01062478,0.00979276,0.02124293
3345088557533390848,1237654953208251002,0.1675059,3.364483E-05,21.20634,19.01053,17.8028,17.33611,17.0016,0.1461594,0.01242486,0.007237152,0.007039563,0.01739903
412185502616152064,1237656528919069002,0.1782445,3.458652E-05,20.34721,18.33702,17.08933,16.60186,16.23218,0.1269805,0.01042699,0.006030284,0.005727186,0.01287903
475251012228114432,1237666090588832002,0.07369831,1.390103E-05,20.28097,18.62974,17.75231,17.29047,16.91672,0.09314964,0.01061744,0.007554174,0.007180257,0.01925496
731844871005956096,1237652947452625002,0.2206406,5.48677E-05,22.02176,19.10472,17.66892,17.15904,16.75341,0.6682397,0.02150234,0.009892068,0.009676145,0.0258816
1012321224283416576,1237657771242619002,0.1036565,1.733928E-05,19.18166,17.89607,17.35706,17.05099,16.84505,0.05595466,0.008445657,0.008060692,0.009268359,0.03072157
